Usage.BoldItalic,Usage.Name
R,Bathrooms
R,Homes (Households)
R,Kitchens

R,Dental Offices
R,Health Care Facilities
R,Hospitals
R,Medical Clinics
R,Medical Offices
R,Nursing Homes

R,Day Care Centers
R,Nurseries

R,Schools
R,Bars
R,Cafeterias
R,Convenience Stores
R,Food Processing Plants
R,Food Storage Areas
R,Institutional Kitchens
R,Restaurants
R,USDA Inspected Food Processing Facilities

R,Athletic Facilities
R,Barber Shops
R,Business and Office Buildings
R,Colleges
R,Commercial Institutions
R,Correctional Facilities
R,Factories
R,Hotels
R,Industrial Institutions
R,Institutional Facilities
R,Institutions
R,Laundry Industry
R,Locker Rooms
R,Morgues
R,Mortuaries
R,Motels
R,Office Buildings
R,Prisons
R,Public Facilities
R,Public Rest Rooms
R,Schools
R,Shower and Bath Areas
R,Salons (Beauty)
R,Tanning Salons
R,Whirlpool and Foot Spa Use

R,Camp Grounds
R,Playground Equipment
R,Protective Safety Gear

R,Animal Laboratories
R,Animal Life Science Laboratories
R,Dairy Farms
R,Equine Farms
R,Farms
R,Federally Inspected Meat and Poultry Plants
R,Funeral Homes
R,Hog Farms
R,Kennels
R,Mushroom Farms
R,Poultry Farms
R,Pet Animal Quarters
R,Pet Shops
R,Tack Shops
R,Turkey Farms
R,Verterinary Clinics
R,Zoos

R,Beverage Plants
R,Breeding and Grooming Establishments
R,Breweries
R,Carpeting
R,Citus Plants 

R,Airplanes
R,Airports
R,Automotive Industy
R,Boats
R,Buses
R,Campers
R,Cars
R,Emergency Vehicles
R,Mobile Homes
R,Recreational Vehicle Use
R,Ships
R,Taxis
R,Trailers
R,Trains
R,Transportation Terminals
